name,lon,lat,address,pname,cityname,adname,type
中国工商银行(阿坝直属支行),102.2110226,31.90611496,达萨街257-259号,四川省,阿坝藏族羌族自治州,马尔康市,金融保险服务;银行;中国工商银行
中国工商银行(巴中回风支行),106.731177,31.86474255,巴州大道146-156号,四川省,巴中市,巴州区,金融保险服务;银行;中国工商银行
中国工商银行(巴中分行),106.7473602,31.86145512,江北大道中段56号,四川省,巴中市,巴州区,金融保险服务;银行;中国工商银行
中国工商银行(巴中金桥支行),106.7555019,31.85354197,红军路21-23号,四川省,巴中市,巴州区,金融保险服务;银行;中国工商银行
中国工商银行,106.7635211,31.85128476,中城街与东城街交叉口东北20米,四川省,巴中市,巴州区,金融保险服务;银行;中国工商银行
中国工商银行巴中晏阳初大道绿色支行,106.77334,31.85120948,晏阳初大道150、152号,四川省,巴中市,巴州区,金融保险服务;银行;中国工商银行
中国工商银行(巴中恩阳支行),106.6280247,31.79804516,G244恩阳大道,四川省,巴中市,恩阳区,金融保险服务;银行;中国工商银行
中国工商银行(巴中经济开发区支行),106.84709,31.85389829,尚府街558560号,四川省,巴中市,巴州区,金融保险服务;银行;中国工商银行
中国工商银行(南江长赤支行),106.6571846,32.15834429,长赤镇书院街398-408号,四川省,巴中市,南江县,金融保险服务;银行;中国工商银行
中国工商银行(石牛大道支行),107.205398,31.91411255,诺江镇石牛大道888号,四川省,巴中市,通江县,金融保险服务;银行;中国工商银行
中国工商银行(信义大道支行),107.085995,31.58556335,信义大道东段3号上城丽景A3-1-9,四川省,巴中市,平昌县,金融保险服务;银行;中国工商银行
中国工商银行(通江支行),107.2429165,31.91237433,诺江镇诺江中路329号,四川省,巴中市,通江县,金融保险服务;银行;中国工商银行
中国工商银行,107.0850178,31.57021551,金宝大道辅路与七古水东街交叉口南220米,四川省,巴中市,平昌县,金融保险服务;银行;中国工商银行
中国工商银行(平昌支行),107.0997656,31.5614561,平昌县人民政府西南门旁,四川省,巴中市,平昌县,金融保险服务;银行;中国工商银行
中国工商银行(西城分理处),107.2416284,31.91351136,诺江中路,四川省,巴中市,通江县,金融保险服务;银行;中国工商银行
工行营业厅,107.2429025,31.91241033,钟鼓楼街与诺江中路交叉口西20米,四川省,巴中市,通江县,金融保险服务;银行;中国工商银行
中国工商银行,106.2888917,32.22778911,东河镇商业南街,四川省,广元市,旺苍县,金融保险服务;银行;中国工商银行
中国工商银行(城区分理处),106.2911244,32.23140201,新华街134号-140,四川省,广元市,旺苍县,金融保险服务;银行;中国工商银行
中国工商银行(华胥路支行),106.0182274,31.55696888,华胥路376-382号,四川省,南充市,阆中市,金融保险服务;银行;中国工商银行
中国工商银行(阆中支行),105.9986746,31.5556274,巴都大道214-222号,四川省,南充市,阆中市,金融保险服务;银行;中国工商银行
中国工商银行(苍溪支行),105.9450962,31.72637889,杜里路大润发超市1层,四川省,广元市,苍溪县,金融保险服务;银行;中国工商银行
中国工商银行,105.9311123,31.73531314,红军路中段与市场街交叉口东40米,四川省,广元市,苍溪县,金融保险服务;银行;中国工商银行
中国工商银行(阆古城支行),105.9697323,31.57709691,内东街53-67号,四川省,南充市,阆中市,金融保险服务;银行;中国工商银行
中国工商银行(阆中张飞大道支行),105.9706851,31.58914876,张飞北路173、175、177、179、181、183号,四川省,南充市,阆中市,金融保险服务;银行;中国工商银行
中国工商银行(蜀州北路支行),103.6669212,30.64058315,蜀州北路240-248号,四川省,成都市,崇州市,金融保险服务;银行;中国工商银行
中国工商银行(崇州支行),103.670637,30.63006723,大东街17号,四川省,成都市,崇州市,金融保险服务;银行;中国工商银行
中国工商银行(永康西路支行),103.670837,30.62281838,永康西路177-179号,四川省,成都市,崇州市,金融保险服务;银行;中国工商银行
中国工商银行(崇州蜀州中路支行),103.665726,30.62492955,兴隆巷1号,四川省,成都市,崇州市,金融保险服务;银行;中国工商银行
中国工商银行(西江桥支行),103.6559721,30.63100782,滨江路南一段1号,四川省,成都市,崇州市,金融保险服务;银行;中国工商银行
中国工商银行,103.6576764,30.62063898,愿景·河之州西南门旁,四川省,成都市,崇州市,金融保险服务;银行;中国工商银行
中国工商银行(海峡科技园支行),103.8199109,30.68866989,柳台大道东段215-219号,四川省,成都市,温江区,金融保险服务;银行;中国工商银行
中国工商银行(德通桥支行),103.8185705,30.69622978,和平路382-386号,四川省,成都市,温江区,金融保险服务;银行;中国工商银行
中国工商银行,103.8236603,30.70065749,成钞家园3号门旁(市五医院地铁站A2口步行270米),四川省,成都市,温江区,金融保险服务;银行;中国工商银行
中国工商银行(成都杨柳河支行),103.8317501,30.67630368,百信路28号6栋1层10-12号,四川省,成都市,温江区,金融保险服务;银行;中国工商银行
中国工商银行(两河路支行),103.8347995,30.68426939,南熏大道二段835号,四川省,成都市,温江区,金融保险服务;银行;中国工商银行
中国工商银行(温江支行营业室),103.8343211,30.69975609,东大街与文庙街交叉口北20米,四川省,成都市,温江区,金融保险服务;银行;中国工商银行
中国工商银行(成都锦泉街支行),103.8527994,30.68984157,锦泉街285-291号,四川省,成都市,温江区,金融保险服务;银行;中国工商银行
中国工商银行(温泉大道支行),103.8746192,30.68020691,清泉北街31-35(涌泉地铁站C2口步行440米),四川省,成都市,温江区,金融保险服务;银行;中国工商银行
中国工商银行(江安路支行),103.8791668,30.68848757,江安路446号,四川省,成都市,温江区,金融保险服务;银行;中国工商银行
中国工商银行(大邑支行),103.5218172,30.58733658,晋原街道东街124号,四川省,成都市,大邑县,金融保险服务;银行;中国工商银行
中国工商银行,103.530839,30.57292653,张祠堂街与潘家街三段交叉口东20米,四川省,成都市,大邑县,金融保险服务;银行;中国工商银行
中国工商银行(大邑晋原支行),103.5186135,30.58635475,南街9号,四川省,成都市,大邑县,金融保险服务;银行;中国工商银行
